testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,quarantine_adherence,relative_time,metric_cat
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0,-3,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,68,cume_n_infection_daily,3000,1277.1435,323.87522244065997,1203.5,872.4875,913.5,961.875,1485.125,1730,1979.525,629,2429,0,0,0,3000,0,-2,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,69,cume_n_infection_daily,3000,2000.2256666666667,585.7548527245725,1802.25,1313,1369,1437.375,2462.25,2873.05,3239.1500000000005,946.5,4006.5,0,0,0,3000,0,-1,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,70,cume_n_infection_daily,3000,2722.243,851.4693598761708,2397,1755.9624999999999,1827,1911.75,3405.25,4000.7999999999993,4503.700000000001,1265.5,5595.5,0,0,0,3000,0,0,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,71,cume_n_infection_daily,3000,3442.858833333333,1118.0457901855464,2984.5,2204.5,2285,2386.5,4372.875,5126.15,5773.287500000001,1603,7197.5,0,0,0,3000,0,1,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,72,cume_n_infection_daily,3000,4162.238,1384.3099696431257,3573.5,2657.4875,2740.5,2859.375,5355.875,6261.199999999999,7010.5375,1928.5,8805,0,0,0,3000,0,2,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,73,cume_n_infection_daily,3000,4880.894,1650.806818694488,4161.75,3105.975,3198.4500000000003,3329.25,6336,7383.3,8278.112500000001,2246,10404.5,0,0,0,3000,0,3,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,74,cume_n_infection_daily,3000,5617.098666666667,1917.721077253312,4771.75,3564.4874999999997,3668.8999999999996,3822.5,7315.625,8520.15,9570.087500000001,2576,12145,0,0,0,3000,0,4,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,75,cume_n_infection_daily,3000,6408.184666666667,2191.506485721,5437,4046.4875,4184,4378.25,8363.75,9746.05,10931.075,2911,13901,0,0,0,3000,0,5,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,76,cume_n_infection_daily,3000,7247.9766666666665,2484.4729496215805,6132.75,4574.9625000000005,4742.95,4955,9503.375,11001.15,12337.112500000001,3380,15664.5,0,0,0,3000,0,6,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,77,cume_n_infection_daily,3000,8107.725833333333,2789.587845010618,6836,5144.45,5310.950000000001,5532.875,10655.5,12328.5,13794.175000000001,3838,17538.5,0,0,0,3000,0,7,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,78,cume_n_infection_daily,3000,8941.866166666667,3102.3338777176964,7506.75,5688.9625000000005,5855.450000000001,6058.875,11835,13654.75,15242.625,4271.5,19283,0,0,0,3000,0,8,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,79,cume_n_infection_daily,3000,9666.218666666668,3413.6311402774872,8105,6058.9749999999995,6264.8,6490,12845.25,14859.6,16588.1375,4544.5,20893.5,0,0,0,3000,0,9,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,80,cume_n_infection_daily,3000,10218.706333333334,3691.6496394945375,8607.25,6188.450000000001,6508.299999999999,6831,13515.625,15906.05,17774.625,4587,22370,0,0,0,3000,0,10,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,81,cume_n_infection_daily,3000,10588.5545,3915.763333558507,8974.75,6190.9875,6620.9000000000005,7055.875,13961.125,16615.3,18716.1,4587,23501.5,0,0,0,3000,0,11,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,82,cume_n_infection_daily,3000,10800.455166666667,4076.770177513901,9211.75,6190.9875,6620.9000000000005,7184.125,14231.5,17036.2,19376.425000000003,4587,24385.5,0,0,0,3000,0,12,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,83,cume_n_infection_daily,3000,10898.514166666666,4174.42431444165,9331,6190.9875,6620.9000000000005,7189,14340.375,17297.45,19807.6875,4587,25036.5,0,0,0,3000,0,13,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,84,cume_n_infection_daily,3000,10934.037,4221.657246244172,9331,6190.9875,6620.9000000000005,7189,14347.625,17341.399999999998,20027.4,4587,25531.5,0,0,0,3000,0,14,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0,-3,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,68,cume_n_infection_daily,3000,1277.1435,323.87522244065997,1203.5,872.4875,913.5,961.875,1485.125,1730,1979.525,629,2429,0,0,0,3000,0,-2,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,69,cume_n_infection_daily,3000,2000.2256666666667,585.7548527245725,1802.25,1313,1369,1437.375,2462.25,2873.05,3239.1500000000005,946.5,4006.5,0,0,0,3000,0,-1,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,70,cume_n_infection_daily,3000,2540.1742,835.8132210734647,2205.75,1612.8875,1675.9,1754.9750000000001,3236.3,3793.74,4286.0125,1131.1,5359.5,0,0,0,3000,0,0,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,71,cume_n_infection_daily,3000,3104.5647,1023.1882747890529,2698.3,1990.6975,2061.18,2150.3,3985.7250000000004,4628.5599999999995,5245.055,1387.1,6613.5,0,0,0,3000,0,1,Cumulative infectious days
