testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,quarantine_adherence,relative_time,metric_cat
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0,-3,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0,-2,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0,-1,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,70,cume_n_infection_daily,3000,2210.063833333333,413.2845055602145,2213.5,1740.9750000000001,1804,1867.5,2399,2822.1,3238.05,1265.5,3891.5,0,0,0,3000,0,0,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,71,cume_n_infection_daily,3000,2760.2346666666667,515.1773335398404,2773.75,2186.4875,2256.5,2329,2989.5,3527.1,4047.0125,1603,4856.5,0,0,0,3000,0,1,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,72,cume_n_infection_daily,3000,3309.5935,616.833794997729,3333.5,2634.95,2710.95,2792,3579.625,4223.299999999999,4851.0374999999995,1928.5,5829.5,0,0,0,3000,0,2,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,73,cume_n_infection_daily,3000,3858.2988333333333,718.2676094151009,3892.5,3080.9875,3163,3257,4165.5,4928.5,5654.575000000001,2246,6782.5,0,0,0,3000,0,3,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,74,cume_n_infection_daily,3000,4424.921666666667,821.3156636379226,4469.25,3540.475,3628,3735,4778,5636.05,6464.637500000001,2576,7707,0,0,0,3000,0,4,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,75,cume_n_infection_daily,3000,5040.459333333333,924.0289287498584,5081.75,4019.4875,4139.45,4266,5444.75,6403.55,7334.737500000001,2911,8766,0,0,0,3000,0,5,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,76,cume_n_infection_daily,3000,5689.493666666666,1026.3806948383242,5735.5,4544.9875,4691.450000000001,4830.875,6141.375,7200.2,8253.0125,3380,9820,0,0,0,3000,0,6,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,77,cume_n_infection_daily,3000,6348.313,1126.0669738700626,6406.25,5110,5256.9,5404.5,6841.5,8001.65,9168.112500000001,3838,10873.5,0,0,0,3000,0,7,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,78,cume_n_infection_daily,3000,6977.980833333333,1231.3911119432485,7066.25,5650.3875,5807.5,5945.5,7509.25,8781.349999999999,10085.5375,4271.5,11921,0,0,0,3000,0,8,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,79,cume_n_infection_daily,3000,7507.7643333333335,1359.0480309066807,7626.75,6009.9375,6201,6361.375,8105.625,9497.55,10938.962500000001,4544.5,12959.5,0,0,0,3000,0,9,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,80,cume_n_infection_daily,3000,7897.4765,1498.0548090556395,7900,6143.5,6413.35,6661.5,8607.125,10110.65,11613.6625,4564.5,13936,0,0,0,3000,0,10,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,81,cume_n_infection_daily,3000,8147.664833333333,1631.4916619751193,8039.75,6143.5,6482.5,6807.5,8976.25,10546.65,12192.800000000001,4564.5,14767.5,0,0,0,3000,0,11,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,82,cume_n_infection_daily,3000,8282.62,1743.7916686236308,8042,6143.5,6482.5,6816,9223,10840.7,12525.1375,4564.5,15470.5,0,0,0,3000,0,12,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,83,cume_n_infection_daily,3000,8339.497333333333,1817.0783963437136,8048,6143.5,6482.5,6816,9349,11003.6,12715.762500000003,4564.5,16048,0,0,0,3000,0,13,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,84,cume_n_infection_daily,3000,8357.255,1851.8150061261442,8048,6143.5,6482.5,6816,9349.125,11034.8,12831.025000000001,4564.5,16408,0,0,0,3000,0,14,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,67,cume_n_infection_daily,1000,512.7205,94.85554123747043,485,398,419.5,438,563.625,653.5999999999999,748.5624999999999,295.5,883.5,0,0,0,1000,0,-3,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,68,cume_n_infection_daily,1000,1024.823,189.76693247154432,970,800.9375,842.45,874.875,1123.75,1307.1,1494.8374999999996,607,1774,0,0,0,1000,0,-2,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,69,cume_n_infection_daily,1000,1536.5375,284.83786168836684,1457.5,1209.95,1266.95,1309,1687.125,1958.6000000000001,2245.2874999999995,896,2698.5,0,0,0,1000,0,-1,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,70,cume_n_infection_daily,1000,2047.8725,378.89705128071296,1930,1626.95,1689,1745.375,2249,2610.55,2977.8875,1198.5,3620,0,0,0,1000,0,0,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,71,cume_n_infection_daily,1000,2557.9335,472.51912411076063,2379.75,2042.425,2117.95,2181.875,2804.5,3274.55,3711.5624999999995,1522,4538,0,0,0,1000,0,1,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,72,cume_n_infection_daily,1000,3067.7855,565.8083649484122,2818,2456.3374999999996,2544.3999999999996,2620.25,3355.125,3934.6,4466.049999999999,1848.5,5441.5,0,0,0,1000,0,2,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,73,cume_n_infection_daily,1000,3576.531,658.8291800060373,3266.75,2855.675,2973.95,3053.75,3902.25,4593,5218.4749999999985,2163,6345,0,0,0,1000,0,3,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,74,cume_n_infection_daily,1000,4103.176,751.3297214767791,3771.75,3279.9249999999997,3413,3509.25,4468.75,5255.6500000000005,6003.112499999998,2507,7258,0,0,0,1000,0,4,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,75,cume_n_infection_daily,1000,4675.449,841.0509155464617,4320.25,3751.2875000000004,3885,4011.875,5090,5970.05,6823.9749999999995,2868,8135,0,0,0,1000,0,5,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,76,cume_n_infection_daily,1000,5278.2385,935.1950848429778,4887.75,4236.425,4394.45,4545.25,5745.625,6720.65,7697.1375,3317,9131,0,0,0,1000,0,6,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,77,cume_n_infection_daily,1000,5891.656,1029.5562892901082,5447.75,4792.8875,4929.4000000000005,5079.125,6402.125,7473.950000000001,8551.062499999998,3760,10087.5,0,0,0,1000,0,7,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,78,cume_n_infection_daily,1000,6475.363,1132.9353979141295,5986.25,5282.8875,5436.35,5572.25,7027,8224,9411.3375,4102,11042.5,0,0,0,1000,0,8,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,79,cume_n_infection_daily,1000,6963.6895,1261.4005647392403,6357.25,5559.825000000001,5795.25,5973.625,7591.75,8885.300000000001,10228.8875,4214.5,12011.5,0,0,0,1000,0,9,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,80,cume_n_infection_daily,1000,7322.669,1399.4517425115519,6714,5654.95,5960.950000000001,6228.625,8038,9455.35,10930.499999999998,4214.5,12890,0,0,0,1000,0,10,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,81,cume_n_infection_daily,1000,7553.5055,1532.9402308867823,7039,5654.95,6028.9,6354.25,8363.5,9882.3,11568.45,4214.5,13650,0,0,0,1000,0,11,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,82,cume_n_infection_daily,1000,7677.0505,1644.6492955962542,7252,5654.95,6028.9,6366.75,8572.125,10109.000000000002,11918.1875,4214.5,14293,0,0,0,1000,0,12,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,83,cume_n_infection_daily,1000,7730.346,1717.4887686545303,7335.75,5654.95,6028.9,6366.75,8686.125,10257.1,12131.312499999998,4214.5,14840.5,0,0,0,1000,0,13,Cumulative infectious days
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.4,40%,0,2,2x,NA,NA,0,84,cume_n_infection_daily,1000,7748.607,1754.0274331626879,7335.75,5654.95,6028.9,6366.75,8688.875,10258.5,12227.674999999997,4214.5,15154,0,0,0,1000,0,14,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0,-3,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0,-2,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0,-1,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,70,cume_n_infection_daily,3000,2027.9950333333334,380.36446932099153,2022.5,1602.6000000000001,1656.5,1713.95,2207.325,2586.34,2970.65,1131.1,3566.7,0,0,0,3000,0,0,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,71,cume_n_infection_daily,3000,2473.1597333333334,452.04555771221186,2444.8500000000004,1975.7825,2036.38,2099.875,2700.4,3142.91,3574.2775000000006,1387.1,4280.9,0,0,0,3000,0,1,Cumulative infectious days
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,72,cume_n_infection_daily,3000,2993.7417666666665,525.8316106192689,2934.5,2422.0775,2485.79,2563.0249999999996,3281.425,3779.93,4253.130000000001,1704.6,5059.7,0,0,0,3000,0,2,Cumulative infectious days
