date,state,fipschar,cases,deaths,fips,pop2019,new_cases,new_cases_per_100k,avg_new_cases
2020-03-13,Alabama,01,6,0,1,4903185,6,0.12236943945619022,0
2020-03-14,Alabama,01,12,0,1,4903185,6,0.12236943945619022,0
2020-03-15,Alabama,01,23,0,1,4903185,11,0.2243439723363487,0
2020-03-16,Alabama,01,29,0,1,4903185,6,0.12236943945619022,0
2020-03-17,Alabama,01,39,0,1,4903185,10,0.20394906576031702,0
2020-03-18,Alabama,01,51,0,1,4903185,12,0.24473887891238044,0
2020-03-19,Alabama,01,78,0,1,4903185,27,0.5506624775528559,0.22725753041863897
2020-03-20,Alabama,01,106,0,1,4903185,28,0.5710573841288876,0.2913558082290243
2020-03-21,Alabama,01,131,0,1,4903185,25,0.5098726644007925,0.3467134117925389
2020-03-22,Alabama,01,157,0,1,4903185,26,0.5302675709768243,0.3904167830268926
2020-03-23,Alabama,01,196,0,1,4903185,39,0.7954013564652364,0.4865641997424706
2020-03-24,Alabama,01,242,0,1,4903185,46,0.9381657024974582,0.5914522907049193
2020-03-25,Alabama,01,386,1,1,4903185,144,2.936866546948565,0.9760419575672313
2020-03-26,Alabama,01,538,3,1,4903185,152,3.100025799556819,1.340236717853512
2020-03-27,Alabama,01,639,4,1,4903185,101,2.059885564179202,1.5529264578606996
2020-03-28,Alabama,01,720,4,1,4903185,81,1.651987432658568,1.716085710468953
2020-03-29,Alabama,01,830,5,1,4903185,110,2.2434397233634873,1.9608245893813336
2020-03-30,Alabama,01,947,11,1,4903185,117,2.386204069395709,2.1880821197999727
2020-03-31,Alabama,01,999,14,1,4903185,52,1.0605351419536486,2.205563468293714
2020-04-01,Alabama,01,1108,28,1,4903185,109,2.2230448167874557,2.1035889354135557
2020-04-02,Alabama,01,1270,32,1,4903185,162,3.303974865317136,2.132724516236458
2020-04-03,Alabama,01,1535,38,1,4903185,265,5.4046502426484,2.610548041732058
2020-04-04,Alabama,01,1632,44,1,4903185,97,1.978305937875075,2.6571649710487018
2020-04-05,Alabama,01,1840,45,1,4903185,208,4.2421405678145945,2.9426936631131455
2020-04-06,Alabama,01,2005,53,1,4903185,165,3.3651595850452307,3.0825444510630775
2020-04-07,Alabama,01,2197,64,1,4903185,192,3.915822062598087,3.4904425825837113
2020-04-08,Alabama,01,2498,67,1,4903185,301,6.138866879385542,4.049845734383438
2020-04-09,Alabama,01,2838,78,1,4903185,340,6.934268235850779,4.568459073031101
2020-04-10,Alabama,01,3008,80,1,4903185,170,3.4671341179253896,4.291671055213528
2020-04-11,Alabama,01,3262,93,1,4903185,254,5.180306270312052,4.749099674133097
2020-04-12,Alabama,01,3583,93,1,4903185,321,6.546765010906176,5.078331737431894
2020-04-13,Alabama,01,3805,104,1,4903185,222,4.527669259879038,5.2444045481224375
2020-04-14,Alabama,01,3953,114,1,4903185,148,3.0184461732526917,5.116207992501667
2020-04-15,Alabama,01,4241,123,1,4903185,288,5.87373309389713,5.078331737431894
2020-04-16,Alabama,01,4404,137,1,4903185,163,3.3243697718931675,4.562631956866521
2020-04-17,Alabama,01,4572,151,1,4903185,168,3.426344304773326,4.556804840701941
2020-04-18,Alabama,01,4723,147,1,4903185,151,3.079630892980787,4.256708358226045
2020-04-19,Alabama,01,4903,160,1,4903185,180,3.6710831836857065,3.8458966686231206
2020-04-20,Alabama,01,5078,164,1,4903185,175,3.569108650805548,3.708959438755479
2020-04-21,Alabama,01,5327,186,1,4903185,249,5.078331737431894,4.003228805066795
2020-04-22,Alabama,01,5610,201,1,4903185,283,5.771758561016972,3.9886610146553427
2020-04-23,Alabama,01,5832,197,1,4903185,222,4.527669259879038,4.160560941510467
2020-04-24,Alabama,01,6026,209,1,4903185,194,3.95661187575015,4.236313451650013
2020-04-25,Alabama,01,6213,213,1,4903185,187,3.8138475297179277,4.341201542612462
2020-04-26,Alabama,01,6421,219,1,4903185,208,4.2421405678145945,4.422781168916589
2020-04-27,Alabama,01,6539,228,1,4903185,118,2.406598975971741,4.256708358226045
2020-04-28,Alabama,01,6750,242,1,4903185,211,4.303325287542689,4.145993151099016
2020-04-29,Alabama,01,6925,262,1,4903185,175,3.569108650805548,3.83132887821167
2020-04-30,Alabama,01,7068,272,1,4903185,143,2.9164716403725333,3.6011577897107405
2020-05-01,Alabama,01,7294,289,1,4903185,226,4.609248886183164,3.6943916483440282
2020-05-02,Alabama,01,7611,288,1,4903185,317,6.46518538460205,4.073154199041761
2020-05-03,Alabama,01,7888,290,1,4903185,277,5.649389121560781,4.2741897067197865
2020-05-04,Alabama,01,8112,298,1,4903185,224,4.568459073031101,4.583026863442552
2020-05-05,Alabama,01,8437,315,1,4903185,325,6.628344637210303,4.91517248482364
2020-05-06,Alabama,01,8691,343,1,4903185,254,5.180306270312052,5.145343573324569
2020-05-07,Alabama,01,9046,369,1,4903185,355,7.240191834491254,5.7630178867701005
2020-05-08,Alabama,01,9385,383,1,4903185,339,6.913873329274748,6.092249950068898
2020-05-09,Alabama,01,9668,390,1,4903185,283,5.771758561016972,5.99318897527103
2020-05-10,Alabama,01,9889,393,1,4903185,221,4.507274353303006,5.830029722662776
2020-05-11,Alabama,01,10164,403,1,4903185,275,5.608599308408718,5.978621184859579
2020-05-12,Alabama,01,10464,435,1,4903185,300,6.118471972809511,5.905782232802323
2020-05-13,Alabama,01,10700,450,1,4903185,236,4.813197951943482,5.853338187321099
2020-05-14,Alabama,01,11101,473,1,4903185,401,8.178357536988713,5.98736185910645
2020-05-15,Alabama,01,11373,483,1,4903185,272,5.547414588680622,5.792153467593003
2020-05-16,Alabama,01,11674,485,1,4903185,301,6.138866879385542,5.844597513074228
2020-05-17,Alabama,01,11771,488,1,4903185,97,1.978305937875075,5.483316310870237
2020-05-18,Alabama,01,12086,489,1,4903185,315,6.4243955714499865,5.599858634161848
2020-05-19,Alabama,01,12376,504,1,4903185,290,5.914522907049194,5.570723053338945
2020-05-20,Alabama,01,13052,522,1,4903185,676,13.786956845397432,6.852688609546653
2020-05-21,Alabama,01,13414,529,1,4903185,362,7.382956180523476,6.739059844337333
2020-05-22,Alabama,01,13670,541,1,4903185,256,5.221096083464116,6.692442915020689
2020-05-23,Alabama,01,14149,549,1,4903185,479,9.769160249919185,7.211056253668352
2020-05-24,Alabama,01,14478,551,1,4903185,329,6.709924263514431,7.887001728759688
2020-05-25,Alabama,01,14986,566,1,4903185,508,10.360612540624103,8.449318438641706
2020-05-26,Alabama,01,15650,580,1,4903185,664,13.54221796648505,9.538989161418256
2020-05-27,Alabama,01,16032,583,1,4903185,382,7.79085431204411,8.682403085224925
2020-05-28,Alabama,01,16530,591,1,4903185,498,10.156663474863787,9.078646984416398
2020-05-29,Alabama,01,17031,610,1,4903185,501,10.217848194591882,9.792468714577508
2020-05-30,Alabama,01,17359,618,1,4903185,328,6.689529356938399,9.35252144415168
2020-05-31,Alabama,01,17952,630,1,4903185,593,12.0941795995868,10.121700777876304
2020-06-01,Alabama,01,18534,646,1,4903185,582,11.86983562725045,10.337304075965784
2020-06-02,Alabama,01,18771,653,1,4903185,237,4.833592858519514,9.09321477482785
2020-06-03,Alabama,01,18851,653,1,4903185,80,1.6315925260825361,8.213320233976196
2020-06-04,Alabama,01,19072,653,1,4903185,221,4.507274353303006,7.406264645181799
2020-06-05,Alabama,01,19387,676,1,4903185,315,6.4243955714499865,6.864342841875813
2020-06-06,Alabama,01,20043,689,1,4903185,656,13.379058713876798,7.819989892867014
2020-06-07,Alabama,01,20500,692,1,4903185,457,9.320472305246488,7.42374599367554
2020-06-08,Alabama,01,20925,718,1,4903185,425,8.667835294813473,6.966317374755972
2020-06-09,Alabama,01,21422,729,1,4903185,497,10.136268568287756,7.723842476151435
2020-06-10,Alabama,01,21989,744,1,4903185,567,11.563912028609975,9.142745262226784
2020-06-11,Alabama,01,22845,755,1,4903185,856,17.458040029083136,10.992854644481087
2020-06-12,Alabama,01,23710,769,1,4903185,865,17.641594188267423,12.59531158974072
2020-06-13,Alabama,01,24601,773,1,4903185,891,18.171861759244248,13.279997739078928
2020-06-14,Alabama,01,25615,773,1,4903185,1014,20.680435268096147,14.902849590914595
2020-06-15,Alabama,01,26272,774,1,4903185,657,13.399453620452828,15.57879506600593
2020-06-16,Alabama,01,26912,785,1,4903185,640,13.052740208660289,15.995433871773434
2020-06-17,Alabama,01,27312,790,1,4903185,400,8.15796263041268,15.508869672030965
2020-06-18,Alabama,01,28206,810,1,4903185,894,18.23304647897234,15.619584879157994
2020-06-19,Alabama,01,29002,822,1,4903185,796,16.234345634521233,15.418549371479967
2020-06-20,Alabama,01,29549,838,1,4903185,547,11.156013897089341,14.416285391172122
2020-06-21,Alabama,01,30021,839,1,4903185,472,9.626395903886964,12.83713691057081
2020-06-22,Alabama,01,30454,841,1,4903185,433,8.830994547421726,12.184499900137796
2020-06-23,Alabama,01,31097,864,1,4903185,643,13.113924928388386,12.193240574384665
2020-06-24,Alabama,01,32064,891,1,4903185,967,19.721874659022657,13.845228007043234
2020-06-25,Alabama,01,33206,896,1,4903185,1142,23.290983309828203,14.567790411451215
2020-06-26,Alabama,01,34183,907,1,4903185,977,19.925823724782973,15.095144424345749
2020-06-27,Alabama,01,35083,919,1,4903185,900,18.355415918428534,16.123630427394207
2020-06-28,Alabama,01,35441,919,1,4903185,358,7.301376554219349,15.791484806013118
2020-06-29,Alabama,01,37175,929,1,4903185,1734,35.36476800283897,19.582023871072725
