testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,symptom_screening,symptom_cat,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,relative_time,metric_cat
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,67,cume_n_infection_daily,1000,183.4705,36.13881422575516,176.5,135,143.5,155,207,235.5,262.525,107,320.5,0,0,0,1000,-3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,68,cume_n_infection_daily,1000,366.8465,71.82459509256012,352.25,270.97499999999997,288.45,309.5,412,470.5,522.525,213.5,628,0,0,0,1000,-2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,69,cume_n_infection_daily,1000,550.757,106.69987729521911,531.5,409.48749999999995,435.95,465.5,614.5,705,789.5250000000001,316.5,934,0,0,0,1000,-1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,70,cume_n_infection_daily,1000,734.9385,141.77131964831543,709.25,551.5,583.95,622.875,816.125,943.5999999999999,1060.125,432.5,1236,0,0,0,1000,0,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,71,cume_n_infection_daily,1000,918.543,176.74894721423757,887.25,693.4,734.45,774,1018.625,1177.75,1341.2124999999996,543,1543,0,0,0,1000,1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,72,cume_n_infection_daily,1000,1102.1075,211.27562586307448,1066.25,836.9875,886,929,1215.625,1416.15,1618.0375,649.5,1876,0,0,0,1000,2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,73,cume_n_infection_daily,1000,1285.4315,245.7489778572189,1243.75,983.9875000000001,1034.9,1080.875,1418.5,1651.05,1878.2624999999998,757.5,2208,0,0,0,1000,3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,74,cume_n_infection_daily,1000,1468.5625,279.9758191398912,1421.25,1129.425,1183,1235.5,1617.125,1885,2145.6,858.5,2523,0,0,0,1000,4,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,75,cume_n_infection_daily,1000,1652.1485,313.9302452721729,1594,1274.4875,1331,1393,1817.125,2116.1,2413.6875,967.5,2841.5,0,0,0,1000,5,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,76,cume_n_infection_daily,1000,1835.1605,347.87074186081355,1782,1417.975,1483,1544.875,2012.625,2346.55,2664.6875,1084,3152,0,0,0,1000,6,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,77,cume_n_infection_daily,1000,2017.7735,381.5888618752613,1970.5,1568.4624999999999,1637,1699.875,2210.375,2582,2910.6499999999996,1190.5,3465.5,0,0,0,1000,7,Cumulative infectious days
