testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,quarantine_adherence,relative_time,metric_cat,symptom_adherence_cat
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0.8,-3,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0.8,-2,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.8,-1,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1764.5906666666667,332.6303279787528,1762,1383.5,1434.5,1490.5,1915.5,2260.05,2597.6375000000003,1015,3109,0,0,0,3000,0.8,0,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1786.1592333333333,337.42887086867773,1783.7,1400.7849999999999,1451.78,1508.1,1938.6,2287.03,2632.1825000000003,1027.2,3151,0,0,0,3000,0.8,1,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1809.6629,342.9522372954364,1807.8,1419.7975,1470.58,1527,1963.6499999999999,2319.64,2670.8450000000003,1037.3,3197.9,0,0,0,3000,0.8,2,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,1837.9594666666667,350.75909082585616,1837.1999999999998,1442.875,1493.1899999999998,1548.5,1992.6,2358.01,2718.8075000000003,1048.3,3268.6000000000004,0,0,0,3000,0.8,3,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,1881.2249333333334,362.2359818780909,1884.3,1473.2975,1526.5,1582.25,2042.6249999999998,2416.93,2789.1300000000006,1063.3,3360.1,0,0,0,3000,0.8,4,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,1952.8714,373.99770241162764,1956.65,1531.475,1582.3899999999999,1641.975,2120.8,2503.3999999999996,2890.3349999999996,1105.5,3473.1,0,0,0,3000,0.8,5,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2048.8332,386.41404766110225,2048.95,1612.5825,1667.19,1729.5,2223.225,2619.41,3015.6225000000004,1170.8,3629.7,0,0,0,3000,0.8,6,Cumulative infectious days,0%
