testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,relative_time,metric_cat,symptom_adherence_cat
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,648.723,121.79320506196731,646,505,527,547,705,829,950,374,1172,0,0,0,3000,14,Number active infections on day of flight,0%
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0.2,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,603.2003333333333,113.57163835615764,598,470,490,509,656,771,877,340,1091,0,0,0,3000,14,Number active infections on day of flight,20%
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0.4,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,557.6893333333334,106.11440795393445,545.5,434,453,471,613,717,806.0500000000002,306,1010,0,0,0,3000,14,Number active infections on day of flight,40%
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0.6000000000000001,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,512.1706666666666,99.57845564762128,491,397,415,432,571,660,746.0250000000001,270,928,0,0,0,3000,14,Number active infections on day of flight,60%
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,0.8,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,466.6596666666667,94.17118761816,438,359.975,377,393,526,605,695.0250000000001,234,847,0,0,0,3000,14,Number active infections on day of flight,80%
no_testing,No testing,0.0015,"150 per 100,000",NA,NA,0.3,30%,1,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,421.137,90.08111770466832,385,322.975,339,355,483,548,651.0500000000002,196,766,0,0,0,3000,14,Number active infections on day of flight,100%
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,648.723,121.79320506196731,646,505,527,547,705,829,950,374,1172,0,0,0,3000,14,Number active infections on day of flight,0%
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,603.2003333333333,113.57163835615764,598,470,490,509,656,771,877,340,1091,0,0,0,3000,14,Number active infections on day of flight,20%
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,557.6893333333334,106.11440795393445,545.5,434,453,471,613,717,806.0500000000002,306,1010,0,0,0,3000,14,Number active infections on day of flight,40%
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,512.1706666666666,99.57845564762128,491,397,415,432,571,660,746.0250000000001,270,928,0,0,0,3000,14,Number active infections on day of flight,60%
